,all_death_rate,covid_death_rate,bame_share,pct_furloughed,key_workers_pct
Fenland,140.3,18.2,5.550000000000001,0.10917259767798283,24.2
Flintshire,152.1,28.0,3.09,0.12327383840635778,28.3
Forest of Dean,153.5,19.9,3.0799999999999996,0.12200924830102122,34.4
Fylde,115.2,19.5,5.07,0.11484087279063321,26.6
Gateshead,193.9,48.2,7.46,0.12087066838482824,32.9
Gedling,151.4,35.2,13.9,0.12330130435165532,37.7
Gloucester,187.7,42.8,21.740000000000002,0.13394911577148116,29.1
Gosport,169.7,32.1,7.12,0.10287816804241001,32.2
Gravesham,177.2,42.5,34.39,0.12288635469917421,31.0
Great Yarmouth,149.5,18.1,6.29,0.11205115289328413,43.6
Greenwich,230.9,84.6,75.08,0.12335154798335933,32.8
Guildford,112.7,18.5,18.18,0.11225880757819846,32.0
Gwynedd,125.4,17.1,7.050000000000001,0.10912910054646602,36.6
Hambleton,152.8,22.9,3.3899999999999997,0.1054520978236482,46.8
Harborough,158.0,16.6,9.52,0.13468881028788268,42.4
Haringey,222.1,119.3,78.89999999999999,0.1651459639267866,23.2
Harlow,219.6,55.1,21.83,0.14156008981743629,30.1
Harrogate,149.1,23.1,7.340000000000001,0.12035295086432422,33.2
Harrow,229.2,114.7,115.50000000000001,0.12674854427414498,31.4
Hart,121.1,21.9,10.28,0.1175397932617842,24.7
Hastings,134.4,6.4,12.5,0.10747446096571897,33.1
Havant,150.7,27.5,5.839999999999999,0.11351960491863047,40.1
Havering,199.5,64.6,24.71,0.12182167667093816,35.0
Hertsmere,241.8,95.0,29.929999999999996,0.1309594025851986,45.3
High Peak,165.7,38.8,4.26,0.12322316595519958,41.3
Hillingdon,199.8,73.0,78.76,0.14419426435371765,35.1
Hinckley and Bosworth,144.6,18.0,7.08,0.1379927292106816,38.2
Horsham,124.4,18.2,8.000000000000002,0.13251993511092833,25.3
Hounslow,190.0,69.2,97.22000000000001,0.16735116574853223,28.0
Huntingdonshire,127.9,13.8,10.409999999999998,0.12152818746017888,31.1
Hyndburn,171.4,25.6,24.67,0.12138628087299032,25.4
Ipswich,151.6,33.4,22.169999999999998,0.12145384753793559,35.3
Islington,208.0,80.7,63.650000000000006,0.11061249241964827,25.9
Kensington and Chelsea,134.7,66.8,58.769999999999996,0.07563867405404383,31.1
Kettering,159.7,22.4,12.27,0.13800481412142285,37.3
King's Lynn and West Norfolk,152.8,23.0,5.47,0.10647604967073808,32.3
Kingston upon Thames,178.4,42.9,51.019999999999996,0.12057978258153193,30.4
Lancaster,176.7,23.9,8.72,0.1026196928635953,35.4
Lewes,126.8,23.9,6.870000000000001,0.10871571865192509,31.6
Lichfield,175.9,45.3,6.490000000000001,0.1361098416357025,32.6
Lincoln,159.6,9.8,8.9,0.11545739301482773,33.0
Liverpool,242.2,81.8,22.18,0.10419905020207326,30.4
Maidstone,140.8,18.3,11.8,0.12697962524896386,30.2
Maldon,141.1,18.3,3.8999999999999995,0.1314316312125785,22.1
Malvern Hills,159.7,18.6,4.789999999999999,0.11389369028955795,32.2
Manchester,207.9,59.8,66.77,0.12362683775666979,33.4
Mansfield,168.5,37.6,5.629999999999999,0.1292286485555109,31.9
Melton,157.7,30.8,4.21,0.12902969668095918,29.0
Mendip,116.1,5.9,4.05,0.13817842403389488,37.6
Merthyr Tydfil,215.0,47.3,4.81,0.10203734566851468,37.6
Merton,228.9,83.0,70.19000000000001,0.12669447602069175,28.2
Mid Devon,104.6,5.9,2.7099999999999995,0.11704180064308682,27.7
Mid Suffolk,138.1,17.5,4.27,0.12095398579566013,32.3
Mid Sussex,157.0,36.2,9.790000000000001,0.1287001287001287,44.3
Mole Valley,151.2,39.8,9.85,0.11010248901903368,34.7
Monmouthshire,122.6,23.9,3.94,0.0996463103489811,33.8
Neath Port Talbot,158.1,22.7,3.9099999999999997,0.09083626584270306,33.7
New Forest,112.2,14.4,4.88,0.11390554340311229,27.6
Newark and Sherwood,135.2,26.0,4.970000000000001,0.12106221204177081,27.2
Newcastle upon Tyne,183.1,41.1,28.990000000000002,0.10814592204213765,37.4
Newcastle-under-Lyme,162.4,32.3,10.04,0.11624996972657038,28.1
Newport,192.9,56.5,20.21,0.11390459460943075,33.7
North Devon,132.6,8.6,4.11,0.12918103494293615,36.6
North East Derbyshire,160.7,42.3,3.91,0.11411490259838623,32.6
North Hertfordshire,146.9,21.6,21.04,0.1077772707962931,35.3
North Kesteven,144.9,17.2,3.5799999999999996,0.10578475585991871,37.5
North Norfolk,112.8,9.8,2.7,0.11034591473807624,26.6
North Tyneside,133.5,20.5,6.760000000000001,0.11055721834054612,38.8
North Warwickshire,194.0,35.2,4.22,0.1402909020543748,23.6
North West Leicestershire,162.6,33.8,4.869999999999999,0.14657422861300123,26.5
Northampton,169.9,39.7,30.95,0.13674794524423656,30.9
Norwich,137.8,2.5,18.330000000000002,0.11998913305964742,37.8
Nuneaton and Bedworth,187.5,43.6,17.330000000000002,0.13093603295755757,34.4
Oadby and Wigston,154.6,33.4,53.95000000000001,0.11750044507744348,22.3
Oxford,155.7,34.4,44.699999999999996,0.10532829512988295,28.9
Pembrokeshire,128.2,7.4,3.7800000000000002,0.10535858672481807,36.1
Pendle,188.6,38.0,40.28,0.1352680767338908,40.0
Powys,127.1,17.1,3.2399999999999993,0.09851401756707977,39.3
Preston,185.5,33.8,39.639999999999986,0.10984151438638536,38.2
Redbridge,209.1,82.9,114.97999999999999,0.12868767250958885,29.9
Redditch,142.9,29.4,15.94,0.14724392618804474,38.0
Reigate and Banstead,171.2,56.7,18.79,0.11970834693655458,25.3
Ribble Valley,120.2,11.2,4.32,0.13827627249177343,32.4
Richmond upon Thames,136.7,47.0,28.110000000000003,0.09893577196641531,26.3
Richmondshire,128.8,15.6,9.27,0.10391609737323199,39.5
Rochdale,191.5,54.8,36.69,0.11242377148687523,34.4
Rochford,138.8,33.2,5.640000000000001,0.11766542197461789,23.8
Rossendale,159.7,16.5,12.36,0.12356211938454296,26.3
Rother,100.8,8.1,5.829999999999999,0.10266260431845277,38.0
Rugby,132.4,21.1,18.99,0.12490632025980515,23.3
Runnymede,142.4,33.0,22.05,0.1304185815426655,28.7
Rushcliffe,125.9,22.3,13.690000000000001,0.10438319430571678,28.5
Rushmoor,133.8,26.3,30.47,0.13325231592525077,30.6
Ryedale,136.2,12.2,2.6399999999999997,0.12753376746343065,28.0
Salford,244.0,92.6,19.709999999999997,0.1432033958441092,30.2
Scarborough,142.5,17.3,4.94,0.13328063386431113,41.0
Sedgemoor,148.4,14.4,3.2600000000000002,0.11606800013963067,27.5
Sefton,182.6,37.1,5.139999999999999,0.10117243142554512,34.7
Selby,140.0,15.1,3.27,0.12822202782537837,28.6
Sevenoaks,140.3,29.5,8.47,0.11227838075426701,25.7
Sheffield,153.9,33.0,32.62,0.09679788962507554,32.2
Solihull,167.5,46.1,21.689999999999998,0.13015667186003077,30.8
South Cambridgeshire,103.1,14.2,13.409999999999998,0.10419817821249706,27.5
South Derbyshire,163.9,39.4,8.62,0.14480345837164812,28.6
South Hams,114.1,4.0,3.25,0.11907625691604523,37.5
South Holland,122.3,13.8,4.29,0.09856123258185114,42.1
South Kesteven,126.1,8.4,5.1000000000000005,0.12557180016144945,31.8
South Lakeland,199.2,54.0,3.27,0.1591772945648189,26.4
South Norfolk,106.2,8.5,4.87,0.1153114214753411,34.1
South Northamptonshire,128.2,24.1,6.14,0.1408632569932738,27.3
South Oxfordshire,123.5,22.8,7.85,0.114705378490507,29.3
South Ribble,137.1,26.0,5.89,0.11461896072695929,32.3
South Somerset,115.2,7.9,3.86,0.11721439070223204,36.3
South Staffordshire,168.8,34.3,8.2,0.12762297583486698,35.2
South Tyneside,159.3,27.3,8.12,0.11004070831111142,32.6
Southwark,219.0,108.1,91.54,0.13597749433716175,31.4
Spelthorne,143.5,39.5,25.42,0.13807820247285507,32.1
St. Helens,196.6,37.6,3.9200000000000004,0.11123280169758368,33.5
Stafford,134.3,20.4,10.029999999999998,0.1123260665245398,34.6
Staffordshire Moorlands,149.7,20.6,2.63,0.12460610054991453,33.4
Stevenage,138.1,22.0,24.689999999999998,0.11672641947663685,39.7
Stockport,153.2,42.4,15.85,0.11896566940252405,36.5
Stratford-on-Avon,117.9,26.8,5.279999999999999,0.14192638087728762,26.4
Stroud,144.0,27.6,4.17,0.12058982612011102,40.3
Sunderland,218.4,62.8,8.16,0.11760179451627188,33.6
Surrey Heath,137.5,17.5,19.63,0.12304977711738485,42.6
Sutton,188.2,56.7,42.800000000000004,0.12095968361154061,29.0
Swale,163.1,30.1,6.88,0.1177899657672912,35.1
Swansea,155.1,29.4,11.989999999999998,0.09622504947222653,31.8
Tameside,213.9,54.2,18.14,0.12629716766062993,34.5
Tamworth,192.9,51.6,5.35,0.15492169294260086,30.9
Tandridge,152.2,27.8,12.33,0.1168702860309887,25.8
Teignbridge,114.3,8.5,3.2999999999999994,0.13041378199967799,35.2
Tendring,152.0,23.1,4.88,0.10793347241539175,35.6
Test Valley,111.8,12.9,8.149999999999999,0.11684049554116051,36.5
Tewkesbury,146.8,34.4,4.99,0.13057857291043776,24.6
Thanet,146.6,24.3,8.95,0.11103989984051987,29.4
Three Rivers,160.1,36.8,27.529999999999998,0.12254200213016939,41.7
Tonbridge and Malling,115.0,16.3,8.16,0.12168370514465461,27.7
Torfaen,184.0,41.1,4.0600000000000005,0.10870161954433159,32.7
Torridge,108.6,9.2,2.5500000000000003,0.12061592443490657,41.3
Tower Hamlets,239.3,122.9,109.63,0.14679491215918394,27.5
Trafford,147.3,31.0,28.92,0.1151921192701851,31.1
Tunbridge Wells,127.0,13.5,10.100000000000001,0.10778016323479561,23.5
Uttlesford,137.4,23.8,6.75,0.13720529184446711,29.0
Vale of White Horse,152.2,46.4,10.190000000000001,0.11488742685224981,21.7
Wakefield,177.2,42.1,9.120000000000001,0.12306766880372702,33.2
Walsall,216.6,64.7,42.22,0.12475726172662566,35.8
Waltham Forest,210.8,92.5,95.61,0.15024259532466727,31.9
Wandsworth,209.7,80.2,57.2,0.11791722992231143,30.1
Warwick,144.0,23.6,21.700000000000003,0.12277693827734511,27.7
Watford,222.6,79.8,56.17999999999999,0.14285556084650225,31.3
Waverley,108.8,21.4,7.98,0.10693251735597012,38.3
Wealden,106.6,15.6,5.0200000000000005,0.11885975220763523,33.3
Wellingborough,145.9,22.8,25.380000000000003,0.14199267477042307,40.5
Welwyn Hatfield,156.9,41.3,31.83,0.1158004252046863,34.3
West Devon,112.8,7.3,3.0799999999999996,0.1045693051743133,34.3
West Lancashire,177.4,38.0,3.75,0.10660884492026923,44.5
West Lindsey,141.6,3.6,3.6899999999999995,0.10084033613445378,37.0
West Oxfordshire,141.2,30.8,6.3500000000000005,0.1297970013075139,29.6
Wigan,180.4,36.1,5.459999999999999,0.11672209130750766,32.6
Winchester,119.1,20.6,8.59,0.10034735623311462,28.1
Wirral,186.6,47.6,6.04,0.09881701028509958,38.9
Woking,119.4,19.9,32.790000000000006,0.11895401116958003,26.4
Wolverhampton,228.4,67.9,63.96000000000001,0.11744899186274903,36.5
Worcester,161.1,20.7,13.11,0.13668394621739835,30.8
Worthing,139.3,11.7,12.42,0.11659021406727829,35.8
Wrexham,142.0,9.4,6.220000000000001,0.11198125241019252,32.4
Wychavon,133.7,24.4,4.260000000000001,0.13681762210972773,38.9
Wyre,128.3,12.4,3.5100000000000002,0.1122980259677584,48.2
Wyre Forest,168.6,37.3,5.52,0.1367695840775708,33.1
