Local Authority District name (2019),IMD_rank_avg,IMD_decile_avg,IMD_rank_std,IMD_decile_std
Mid Devon,17468.39534883721,5.813953488372093,5977.2290846557025,1.7492285912515344
Mid Suffolk,21330.910714285714,7.071428571428571,5708.656973967569,1.7669402712253524
Mid Sussex,27282.325581395347,8.767441860465116,5627.2605506155805,1.642626437820567
Middlesbrough,9189.56976744186,3.383720930232558,10058.080503977239,2.963180344916243
Milton Keynes,18513.565789473683,6.1381578947368425,8335.162995876477,2.5476891024973236
Mole Valley,25788.85185185185,8.296296296296296,6193.751539138571,1.8184549696348813
New Forest,21970.070175438595,7.2105263157894735,7275.091252925607,2.2040737994587754
Newark and Sherwood,17376.571428571428,5.771428571428571,8469.833437048554,2.577333913857432
Newcastle upon Tyne,13043.365714285714,4.525714285714286,10585.189201365405,3.1800692952349157
Newcastle-under-Lyme,17065.6625,5.6875,8342.870719762905,2.513728130471561
Newham,8650.018292682927,3.091463414634146,3303.33111938932,1.0201288526229977
North Devon,15572.068965517241,5.172413793103448,7422.26040157879,2.2566698880576355
North East Derbyshire,18963.984126984127,6.238095238095238,9013.222297112357,2.6923684603462577
North East Lincolnshire,12239.72641509434,4.2924528301886795,10146.365482545503,3.0267599559739033
North Hertfordshire,23234.09756097561,7.560975609756097,7578.750406152679,2.2503638168171265
North Kesteven,23256.921875,7.515625,6665.2590283074915,2.0624549057119377
North Lincolnshire,15797.346534653465,5.326732673267327,8587.77729850471,2.6310032721039662
North Norfolk,14165.032258064517,4.806451612903226,4638.789433546043,1.4123426612200993
North Somerset,20995.155555555557,6.874074074074074,9092.00043491297,2.7082781599176635
North Tyneside,16157.847328244276,5.450381679389313,10154.212704756343,3.076495859947996
North Warwickshire,17442.842105263157,5.7894736842105265,6528.218425591571,1.9885876386486114
North West Leicestershire,20548.258620689656,6.758620689655173,7288.728829465793,2.250226848818442
Northampton,14906.157894736842,5.067669172932331,9015.370212773587,2.747438169601805
Northumberland,16157.842639593908,5.401015228426396,9411.846082150461,2.869010884233196
Norwich,12152.469879518072,4.156626506024097,9446.59536467175,2.919580356209097
Nottingham,8024.010989010989,2.9615384615384617,7114.243893533185,2.18322429866735
Nuneaton and Bedworth,14828.888888888889,4.962962962962963,8895.405284471304,2.690002065261495
Oadby and Wigston,22231.916666666668,7.222222222222222,8030.121484137086,2.3798092493920735
Oldham,10891.113475177304,3.8439716312056738,9165.761315189884,2.778189770190197
Oxford,18989.87951807229,6.289156626506024,8675.964900857822,2.6573878632327603
Pendle,11109.280701754386,3.807017543859649,8475.050328030899,2.6216039017257855
Peterborough,12215.732142857143,4.223214285714286,8655.70144027055,2.646465674495055
Plymouth,13140.782608695652,4.478260869565218,8837.49622750673,2.713592997581203
Portsmouth,12280.656,4.288,7432.877645868497,2.242607928858865
Preston,11962.406976744185,4.162790697674419,9672.729851772068,2.9974909708593014
Reading,16551.39175257732,5.474226804123711,8830.698845217816,2.661816357869952
Redbridge,18068.701863354036,5.987577639751553,6339.2773492377655,1.9461101511725625
Redcar and Cleveland,12470.977272727272,4.340909090909091,9642.888270968095,2.8723267977407887
Redditch,15635.4,5.2727272727272725,9550.457987079099,2.9341826135105515
Reigate and Banstead,23706.95348837209,7.732558139534884,7024.795065726706,2.1552912651789073
Ribble Valley,24478.225,7.95,5688.809791644719,1.723889460433839
Richmond upon Thames,25694.460869565217,8.321739130434782,5974.467516883616,1.8474630594172965
